lang_level	child_lemma	child_pos	child_case	child_number	parent_lemma	parent_pos	parent_case	parent_number	text	sentence	sentence_id	child_lemma_total
gümn	enamik	NOUN	Ine	Sing	kiiver	NOUN	Ine	Plur	Enamikus kiivrites	___Enamikus___ sellistes ___kiivrites___ on kõrvaklapid stereoheli kuulamiseks .	501	42
gümn	kilo	NOUN	Ine	Sing	puit	NOUN	Ine	Sing	kilos puidus	Edasi : kui oletada , et korduvkasutusega plastkuuse valmistamiseks kulub umbes viis kilo plasti , on selle valmistamiseks vajalik energiahulk võrdne 40 ___kilos___ ___puidus___ olevaga .	3271	23
gümn	enamik	NOUN	Ade	Sing	kaitse_ala	NOUN	Ela	Plur	enamikul kaitsealadest	Kuigi loomaliike eraldi kaitse alla ei võetud , oli ___enamikul___ ___kaitsealadest___ keelatud lindude hirmutamine ja jahipidamine .	3349	42
gümn	maa	NOUN	Ade	Sing	elamine	NOUN	Ela	Sing	maal elamisest	Lenna unistab siiani ___maal___ ___elamisest___ .	3989	202
gümn	klaasi=ke	NOUN	Ela	Sing	vein	NOUN	Ela	Sing	klaasikesest veinist	Ilusa ilma ja toreda seltskonnaga ei ütleks ära ___klaasikesest___ jääkülmast ___veinist___ .	4122	1
gümn	enamik	NOUN	Ade	Plur	kunstnik	NOUN	Ela	Plur	enamikel kunstnikest	Kuna Eestis tellimusi ei olnud , tuli temalgi , nagu ___enamikel___ ___kunstnikest___ , siiski võõrsil tööd jätkata .	4301	42
kl3	natuke	NOUN	Tra	Sing	aeg	NOUN	Tra	Sing	natukeseks ajaks	Mine heida ___natukeseks___ ___ajaks___ pikali .	9321	4
kl3	tund	NOUN	Ine	Sing	suve_plaan	NOUN	Ela	Plur	tunnis suveplaanidest	Veel rääkisime eesti keele ___tunnis___ ___suveplaanidest___ .	9750	555
kl5	nädal	NOUN	Tra	Sing	aeg	NOUN	Tra	Sing	nädalaks ajaks	Mu isa sõber tuli koos oma perega meile ___nädalaks___ ___ajaks___ külla !	11827	225
kl5	kuu	NOUN	Tra	Sing	aeg	NOUN	Tra	Sing	kuuks ajaks	See ei tule kõne allagi , et viienda klassi poiss läheb ___kuuks___ ___ajaks___ võõrasse perre elama , meie peres need asjad nii ei käi .	12580	156
kl5	nädal	NOUN	Tra	Sing	aeg	NOUN	Tra	Sing	nädalaks ajaks	Uus kool , uued klassikaaslased , uus kodu ___nädalaks___ ___ajaks___ .	12637	225
kl5	nädal	NOUN	Tra	Sing	aeg	NOUN	Tra	Sing	nädalaks ajaks	Seda kõike küll ___nädalaks___ ___ajaks___ , aga ikkagi !	12814	225
kl7	nädal	NOUN	Ine	Sing	toit	NOUN	All	Sing	nädalas toidule	Slava , kui palju kulub teie peres ___nädalas___ ___toidule___ ?	18780	225
kl9	enamik	NOUN	Ade	Sing	nõude_pesu_masin	NOUN	Ade	Plur	Enamikul nõudepesumasinatel	___Enamikul___ ___nõudepesumasinatel___ on kuni viis pesemisprogrammi ja kuni kolm kuivatusprogrammi .	21948	42
kl9	põlv	NOUN	Ade	Plur	marrask	NOUN	Ade	Sing	põlvedel marraskil	Sa kukkusid , kui sõitsid rulluiskudel ja nüüd on otsaesisel suur muhk ning nahk ___põlvedel___ ___marraskil___ .	22499	19
gümn	euro	NOUN	All	Sing	üle_minek	NOUN	Ade	Sing	Eurole üleminekul	___Eurole___ ___üleminekul___ muutub reisimine inimestele mugavamaks ja vähenevad valuutavahetuskulud .	29076	108
gümn	maa	NOUN	Ine	Plur	komme	NOUN	Tra	Sing	maades kombeks	Nii nagu mujal ___maades___ ___kombeks___ , sõlmib varjupaik looma võtnud inimesega lepingu , et hoida looma edasisel käekäigul silm peal .	29550	202
gümn	osa	NOUN	Ine	Sing	aine	NOUN	Ine	Plur	Osas ainetes	___Osas___ ___ainetes___ võiks õppetöö toimuda inglise keeles .	30094	236
gümn	sõna	NOUN	Ade	Sing	õpilane	NOUN	All	Sing	sõnal õpilasele	Kui suur mõju on õpetaja ___sõnal___ ___õpilasele___ ?	30292	244
gümn	aasta	NOUN	Tra	Sing	inimene	NOUN	Abl	Plur	aastaks inimestelt	Kas välisriikidest Eestisse umbes 5 ___aastaks___ tööle tulevatelt ___inimestelt___ tuleks nõuda keelekategooria tunnistust ?	30604	906
gümn	liiter	NOUN	Ine	Sing	piim	NOUN	Ine	Sing	liitris piimas	Ühes kanamunas on 6 - 7 g valku , sama palju kui ___liitris___ ___piimas___ .	31902	6
gümn	hulk	NOUN	Ade	Sing	inimene	NOUN	All	Sing	hulgal inimesele	Vetikad sisaldavad tohutul ___hulgal___ ___inimesele___ vajalikke mikroelemente , nagu jood , kaalium , kaltsium ja väävel .	32044	45
kl6	natuke	NOUN	Tra	Sing	aeg	NOUN	Tra	Sing	natukeseks ajaks	Vahepeal tahaks Baruto kas või ___natukeseks___ ___ajaks___ koju Lääne-Virumaale sõita , aga kahjuks pole sumolaager , uued treeningud ja võistlused , uued võidud ja kaotused .	34071	4
kl9	natuke	NOUN	Tra	Sing	aeg	NOUN	Tra	Sing	natukeseks ajaks	Kui Sul aega on , võiksid ta ___natukeseks___ ___ajaks___ sülle võtta ja temaga rääkida .	40458	4
