child_lemma	child_pos	child_case	child_number	parent_lemma	parent_pos	parent_case	parent_number	text	sentence	sentence_id	child_lemma_total
võõr_keel	NOUN	Gen	Plur	süva_õpe	NOUN	Com	Sing	võõrkeelte süvaõppega	Teistest populaarsemad on ___võõrkeelte___ ___süvaõppega___ koolid , vene koolinoorte hulgas keelekümbluskoolid .	8	19
haridus_ministeerium	NOUN	Gen	Sing	kogemus	NOUN	Com	Plur	haridusministeeriumi kogemustega	Selle kallal on ___haridusministeeriumi___ ___kogemustega___ inimesed murdnud pead aastaid , et ainete kooskõla ja järjekord oleks kõige optimaalsem .	67	3
loom	NOUN	Gen	Plur	pidamine	NOUN	Com	Sing	loomade pidamisega	Maaelu on Eesti avalikus arvamuses seotud enamasti ränga musta tööga , suure hulga ___loomade___ ___pidamisega___ , see on tulutu tegevus varavalgest hilisõhtuni .	353	190
planeet	NOUN	Gen	Sing	elanik	NOUN	Com	Plur	planeedi elanikega	Tekivad kontaktid teise ___planeedi___ ___elanikega___ .	643	16
allikas	NOUN	Gen	Sing	vesi	NOUN	Com	Sing	allika- veega	Pesti ___allika-___ või urbade ___veega___ .	832	17
kangelane	NOUN	Gen	Sing	muistend	NOUN	Com	Plur	kangelase muistenditega	Vooremaa on rohkem kui ükski teine paik Eestis seotud rahvuseepose ___kangelase___ Kalevipoja ___muistenditega___ .	1496	10
linnus	NOUN	Gen	Sing	valmimine	NOUN	Ter	Sing	linnuse valmimiseni	Põltsamaa kirik ehitati enne linnust ( arvatavasti 1234 ) ja täitis kuni ___linnuse___ ___valmimiseni___ ka kaitseülesandeid .	1517	15
välja_pääs	NOUN	Gen	Sing	leidmine	NOUN	Com	Sing	väljapääsu leidmisega	Kuigi paljudesse kohtadesse ei pääsenud , oli seal lossis nii palju vaadata , et isegi meie giidil tekkis raskusi ___väljapääsu___ ___leidmisega___ .	1675	8
põrgu_ingel	NOUN	Gen	Plur	abi	NOUN	Com	Sing	põrguinglite abiga	Hea näide on Harley Davidson , millest ___põrguinglite___ ___abiga___ on saanud lindpriiuse kultussümbol .	1803	1
kool	NOUN	Gen	Sing	kõht	NOUN	Com	Sing	kooli kõhuga	Päev algab kindlasti hommikusöögiga , sest on tõestatud , et lapsed , kes lähevad ___kooli___ tühja ___kõhuga___ , on raskustes koolitöö alustamisega ja ülesannete lahendamisega .	2148	1013
kooli_töö	NOUN	Gen	Sing	alustamine	NOUN	Com	Sing	koolitöö alustamisega	Päev algab kindlasti hommikusöögiga , sest on tõestatud , et lapsed , kes lähevad kooli tühja kõhuga , on raskustes ___koolitöö___ ___alustamisega___ ja ülesannete lahendamisega .	2148	18
üles_anne	NOUN	Gen	Plur	lahendamine	NOUN	Com	Sing	ülesannete lahendamisega	Päev algab kindlasti hommikusöögiga , sest on tõestatud , et lapsed , kes lähevad kooli tühja kõhuga , on raskustes koolitöö alustamisega ja ___ülesannete___ ___lahendamisega___ .	2148	87
vitamiin	NOUN	Gen	Plur	rasv_hape	NOUN	Com	Plur	vitamiinide rasvhapetega	Selle korvamiseks on soovitatav lisada toorsalatite kastmetele õli või kasutada ___vitamiinide___ ja Omega-3 ___rasvhapetega___ rikastatud võileivamäärdeid .	2154	19
kuld	NOUN	Gen	Sing	väärtus	NOUN	Com	Sing	kulla väärtusega	Tänapäeva kiire elutempo juures on piisav ning rahulik uni ___kulla___ ___väärtusega___ .	2250	15
pikkus	NOUN	Gen	Sing	une_rütm	NOUN	Com	Sing	pikkuse unerütmiga	Sügava ja normaalse ___pikkuse___ ___unerütmiga___ tunned end puhanuna .	2348	23
juhatus	NOUN	Gen	Sing	liige	NOUN	Ess	Sing	juhatuse liikmena	Töö kõrvalt leiab Helle aega tegutsemiseks Hiiumaa nägemispuudega inimeste ühenduse ___juhatuse___ ___liikmena___ .	2546	8
arvuti	NOUN	Gen	Plur	levik	NOUN	Com	Sing	arvutite levikuga	Kuid tõeline muusikarevolutsioon sai alguse ___arvutite___ laialdase ___levikuga___ 1990ndate algul .	2707	200
puute_pulk	NOUN	Gen	Sing	ots	NOUN	Com	Sing	puutepulga otsaga	Selle kasutamine võimaldab teha täpseid puudutusi , tabades ___puutepulga___ peenikese ___otsaga___ just seda kohta ekraanil , mida hetkel vaja .	2777	2
ekraan	NOUN	Gen	Sing	hinge_desüs_teem	NOUN	Com	Sing	ekraani hingedesüsteemiga	Parimaks arvutiks hinnati Delli sülearvuti XPS M1330 , mis jääb silma üliõhukese korpusega , väga kvaliteetsete materjalide ning ___ekraani___ unikaalse ___hingedesüsteemiga___ .	2825	56
üli_õhuke	NOUN	Gen	Sing	korpus	NOUN	Com	Sing	üliõhukese korpusega	Mis teeb haruldaseks ___üliõhukese___ ___korpusega___ sülearvuti ?	2847	1
riik	NOUN	Gen	Sing	sünd	NOUN	Com	Sing	riigi sünniga	Eesti riigi rahaasjade ajamine algas koos ___riigi___ ___sünniga___ .	2924	184
materjal	NOUN	Gen	Sing	kogumine	NOUN	Com	Sing	materjali kogumisega	Kui teema on olemas , tuleb alustada ___materjali___ ___kogumisega___ .	2960	52
keskkond	NOUN	Gen	Sing	välis_tegur	NOUN	Com	Plur	keskkonna välisteguritega	Lisaks isiklikule sissetulekule ja maksevõimekusele peab laenu võtmisel arvestama ka kaudsemate riskide ning ___keskkonna___ ___välisteguritega___ , nagu intressi- ja valuutariskid .	3036	33
valuuta_kurss	NOUN	Gen	Sing	muutmine	NOUN	Com	Sing	valuutakursi muutmisega	Viimane aitaks vähendada ___valuutakursi___ ___muutmisega___ seotud riske , sest nii suurendatakse eurol põhinevate varade suurust ja osatähtsust .	3040	1
nõustaja	NOUN	Gen	Plur	abi	NOUN	Com	Sing	nõustajate abiga	Seega soovitan igal laenutaotlejal alustada laenupoliitika põhiteemade lahtimõtestamisest panga ___nõustajate___ ___abiga___ .	3044	3
eksistents	NOUN	Gen	Sing	lõpp	NOUN	Ter	Sing	eksistentsi lõpuni	Natuke rohkem koostöövõimet ja empaatiat ning metsad püsivad veel väga kaua - ehk isegi inimkonna ___eksistentsi___ ___lõpuni___ .	3236	1
