child_lemma	child_pos	child_case	child_number	parent_lemma	parent_pos	parent_case	parent_number	text	sentence	sentence_id	child_lemma_total
gümnaasium	NOUN	Gen	Sing	lõpetamine	NOUN	Par	Sing	gümnaasiumi lõpetamist	Üha rohkem leidub noori , kes pärast ___gümnaasiumi___ ___lõpetamist___ soovivad astuda kõrgkooli .	9	37
aine_tund	NOUN	Gen	Plur	kokku_langevus	NOUN	Par	Plur	ainetundide kokkulangevusi	Tegelikult saab vaba ainevalikut rakendada vaid algul , mida hiljem , seda enam on läbivõtmata ___ainetundide___ ___kokkulangevusi___ .	65	1
kannatlikkus	NOUN	Par	Sing	arvestamine	NOUN	Par	Sing	kannatlikkust arvestamist	Olen õppinud ___kannatlikkust___ ja teistega ___arvestamist___ .	71	1
nädal	NOUN	Nom	Sing	aeg	NOUN	Par	Sing	nädal aega	Kolmandas klassis ( meie 9. kl ) viibitakse ___nädal___ ___aega___ kohustuslikul tööpraktikal .	136	225
põhi_kool	NOUN	Gen	Sing	lõpetamine	NOUN	Par	Sing	põhikooli lõpetamist	Tänu sellele oli meie klassis üks õpilane , kes enne ___põhikooli___ ___lõpetamist___ leidis enda unistuste elukutse .	139	23
kool	NOUN	Gen	Sing	ühis_elamu	NOUN	Par	Sing	kooli ühiselamut	Tiinat ehmatas see , et Tai ___kooli___ ___ühiselamut___ ümbritses kivimüür , mille peal oli okastraat .	144	1013
kooli_päev	NOUN	Gen	Sing	lõpp	NOUN	Par	Sing	koolipäeva lõppu	Kui Eestis on kombeks pärast ___koolipäeva___ ___lõppu___ minna klassikaaslastega kuhugi istuma , näiteks kohvikusse , kellelegi külla , soojal ajal parki või mõne mäe otsa , siis Inglismaal minnakse harilikult kohe koju ja varakult magama .	164	46
kasvatus	NOUN	Gen	Sing	tund	NOUN	Par	Plur	kasvatuse tunde	Võimlas jälgisime väga vahvaid kehalise ___kasvatuse___ ___tunde___ .	237	43
maa_ilm	NOUN	Gen	Sing	naine	NOUN	Par	Plur	Maailma naisi	___Maailma___ rikkamaid ___naisi___ on Inglise kuninganna Elizabeth II , kelle valduses on 5,3 miljardi naela väärtuses kalliskive , kinnisvara , maale , maad ja aktsiaid .	358	223
edu	NOUN	Nom	Sing	saladus	NOUN	Par	Plur	edu saladusi	Üks ___edu___ ___saladusi___ on oskus säilitada huvi ja positiivsust igapäevases elus : olla krooniline entusiast ning võtta iga päeva kui kõige olulisemat oma elus .	378	49
külg	NOUN	Gen	Plur	tundmine	NOUN	Par	Sing	külgede tundmist	Eneseusaldus tähendab vaid oma tugevate ja nõrkade ___külgede___ ___tundmist___ .	452	28
elekter	NOUN	Gen	Sing	olemas_olu	NOUN	Par	Sing	elektri olemasolu	Selleks on vaja ainult ___elektri___ , telefoni ja arvuti ___olemasolu___ .	485	11
aju	NOUN	Gen	Sing	talitlus_mehhanism	NOUN	Par	Sing	aju talitlusmehhanismi	Teised usuvad , et kui õpitakse paremini tundma inimese ___aju___ ___talitlusmehhanismi___ , luuakse neid teadmisi kasutades esimesed tõeliselt intelligentsed arvutid .	517	7
