verb	compound	total
üürgama		1
oksama		1
venima		4
vahetuma		2
õppima	vaja	1
lindistama	üles	1
hägustuma		1
vaatama	välja	3
puhama		2
minema	vastu	1
mässama		2
armuma		14
juhatama		4
juhtima		108
tekgima		1
nokitsema		1
kordineerima		1
jalgima		9
jätma	maha	11
pöörlema		2
fändma		1
pruugima		5
samastama		1
ümbritsema	välja	1
astuma	sisse	52
kõlama	vastu	1
mõlgutama		4
võtma	ette	14
kahtlustama		3
ühenduma		1
täiendama		71
õustuma		1
väätustama		1
kujuma	ettegi	3
mängima	kaasa	1
selguma		21
kaotama	ära	10
arendama	edasi	19
pälvima		3
satuma	kokku	1
võtma	kokku	22
harrastama		12
ajama	taga	1
viima	edasi	15
võrduma		2
leitma		20
tooma	juurde	3
naasma		12
torkama		6
marssima		1
sulama		3
teostama		16
tooma	sisse	4
investeerima		4
kaasaaidama		1
vilistama		3
jääma	alles	10
kõmisema		1
hüppama	vastu	1
tantsima	välja	1
moodustuma		2
ilmnema		5
laulama	kaasa	1
talletama		1
leidma	tagasi	2
taask_uul		1
läkitama		1
puhkema		5
murdma	läbi	2
väljutama		1
kerkima	esile	5
otsima	välja	5
nautima	kokku	1
lakkama		3
klimberdama		1
hoiatama		3
lahknema		2
sirguma		3
meeldi		2
jääma	kinni	2
saama	lahti	17
püidma		3
püidlema		1
kiikama		2
avalduma		21
istutama		15
ühinema		7
mõtlema	järele	5
julgustama		2
ründama		5
käima	üle	2
saama	kätte	14
vigastama		9
käima	koos	5
jääma	ära	17
hoidma	eemal	1
ostma	ära	2
unistuma		2
lugema	läbi	21
aitama	üle	1
surema	ära	5
huvitutama		1
möllama	ringi	1
keeksma	üle	1
uitama	ringi	1
suvenduma		1
tulema	moodi	1
aimama		3
peletama	ära	1
uuendama		10
genereerima		1
protestima		2
samm		1
uinuma		1
mõetma		1
lööma	kaasa	2
aitama	välja	2
saama	ligi	2
vahetama	välja	1
kiirenema		6
analüüsima		24
kulgema	edasi	1
jätma	järele	1
esindama		29
minema	ära	70
teadagi		1
aitama	edasi	6
säästma		27
rakendama		33
kasnema		1
kannatama		40
lendama		97
hakkama	pihta	2
mängima	edasi	2
rohtuma		1
valutama		35
tugevdama		8
kodeerima	sisse	1
loovutama	ära	1
põrnitsema		1
tekima		33
kuhjuma		3
pritsima		1
tasuma		128
matma	maha	1
lihtsustama		44
külvama		2
pigistama	kinni	2
analüüsima	läbi	1
turgutama	tagasi	1
sisestama		4
minema	katki	32
elama	ära	1
halvama		8
saama	alla	1
uurima	välja	3
kuritarvitama		20
purunema		2
kritiseerima		55
kaoma		5
pääsema	ligi	2
propageerima		7
opima		3
ahvatlema		1
rääkima	edasi	3
täienema		1
päev	läbi	1
piisama	välja	1
puudma	kinni	1
panema	püsti	1
jõudma	kohale	19
liiklema		1
plahvatama		6
rabama		2
kiiritama		1
ravima	välja	3
surema		47
niisutama		1
pärinema		9
kasvatama	üles	6
ostma	kõrvale	1
sorima		1
kustutama	ära	2
laduma		2
tiksuma	edasi	1
laienema		10
lumma=tud		3
üllatama		16
hankima		6
põhjendama		42
leiut=at		1
taipama		11
ammutama		3
allkirjastama		3
suhtlemi		5
lapama		1
kolima		71
saama	peale	1
kaasa_läinud		1
hakkama	vastu	1
saabuma	kohale	2
ohustama		10
hävima		3
saade		2
järgnema		16
saama	ette	2
dikteerima		3
rõhutama		32
sõitma	ringi	6
lehitsema		2
tulema	edasi	7
võtma	üle	8
lagunema		6
maksma	kinni	8
tallutama		1
pürgima		3
käima	kohal	1
kandma	sisse	2
viibutama		1
loetlema		5
surmama		2
reostama		16
kergendama		10
näppima		3
õmblema	kinni	1
programmeerima		43
mängima	maha	2
vahtima		3
asetsema		4
askeldama		3
ootama	ees	6
nägema	üle	1
panema	ette	3
osatama		1
laiema	ära	1
saastama		14
käima	ümber	4
kiirendama		4
veetma	üle	1
hääletama		3
selgitama	välja	3
leit		1
kütima		1
kanma	kaasas	1
külmetuma		2
maksma	tagasi	4
müüma	maha	1
püütlema		4
tulema	ära	8
hävitama		19
toimuma	edasi	5
hoolime		1
koondama		2
tähele_panematta		1
rajanema		1
reklaamima		2
rääkima	silmast_silma	1
trükkima		2
maanduma		3
pesema	ära	4
vajutama		8
googeldama		2
raskendama		5
mõtlema	läbi	16
eeldama		17
minema	kohale	2
tormama		1
vibutama		1
tembeldama		2
arendama	välja	3
vuhisema		1
vurama	ringi	1
kõndima	tagasi	1
võtma	tagasi	3
tulema	asemele	1
naema	välja	1
moodustuma	välja	1
säilima		33
looma	kaasa	1
ehitama	sisse	1
latma	alla	1
hoiduma		9
harjuma	ära	10
osutama		7
pooldama		19
otsima	kokku	1
töötama	edasi	6
kujutama	ettegi	3
oodama		2
varastama		15
seiskuma		2
amputeerima		1
kõrvetama		1
pikenema		5
kahtlema		19
hävitama	ära	2
jääma	maha	20
imiteerima		1
kleebima		2
nägema	ette	7
suunduma		6
toimetama		4
eksima		24
välja_mõeldud		1
sööstma		1
fokuseerima		6
tõusema	esile	1
laevama	alla	1
libistama		1
värskendama		3
aeglustama		1
taa_siseseisvuma		1
ravima	ära	3
mõel=dud		1
paigaldama		6
hiilima	mööda	1
vajuma		3
täheldama	üles	1
paiskama		2
filosofeerima		1
eitama		8
tapma	ära	2
saama	tagasi	24
kuulutama		30
muundama		1
siirdama		1
niitma		11
kustalgama		1
nime_taksing		1
neelama		3
lugema	üles	1
rändama	ringi	3
kirjutama	välja	2
laskma	ringi	1
pilgutama	tagasi	1
astuma	välja	4
murenema		1
lehvitama		3
ajama	segi	1
puhuma	vastu	1
isuma		1
silitama		2
taganema		1
hõõruma		1
kiirustama		21
trügima	mööda	1
mitmekordistuma		2
pruug		1
istuma	maha	1
lihtustama		2
leidma	ülesse	1
tähele_panema		1
minema	juurde	2
abi_elluma		3
müterdama		1
lahenema		3
töötama	välja	10
näide		1
käima	jala	1
sõdima		3
haigestuma		12
votma		2
võtma	välja	8
elane		2
juhkama		1
katkema		7
murdma	sisse	2
halvama	ilma	1
elama	ilma	1
vaatama	mööda	4
toonitama		2
valvama		4
välja_arenenud		1
seisma	peal	1
avastama	ilma	1
vangistama		2
tegema	lahti	18
hõrenema		1
käitma		5
jäe=tud		1
tegema	ringi	3
õitsema		4
ähvardama		5
niidma		1
kuulama	pealt	2
imema		2
kontakteeruma		4
laskma	lahti	4
saama	ära	4
kinnistama		2
kimbutama		1
jääma	üle	4
puhkema	välja	1
elluviia		1
kuritarvima		2
kritiseeri=v		1
varitsema		3
tarvitama		3
panema	kõrvale	2
petma		10
pesitsema		2
maitsema		27
sihtima		1
lööma	lahku	1
hõivama		6
väldima		1
saama	parata	3
jõudma	välja	2
vaevuma		2
põlema		10
liikuma	tagasi	3
leppima	kokku	60
ennustama		2
ootama	ilma	1
edastama	edasi	1
pidama	ülal	1
tegema	otsa	1
paistma	välja	7
ennustama	ette	1
valmistuma		28
kinni_pidama		1
väljatöötama		1
puhkima		1
harjuma	ilma	1
võtma	lahti	4
muutuma	läbi	1
panema	välja	4
kaaluma		13
kaaluma	üle	3
võimendama		1
guugeldama		1
usaldama		29
eirama		5
laema		1
funktsioneerima		2
vaatlema		44
piiluma		2
suvatsema		1
mõtlema	ilma	1
kündma		3
ellu_jääma		1
ärgatama	üles	1
vaikima		16
proovima	edasi	1
edendama		7
sadama	alla	1
veeretama		1
aretama	edasi	1
laenutama		4
taanduma		1
naerma	välja	1
rippuma		9
suhelema	läbi	1
nälgima		1
tõstatama		3
vaatama	üle	17
kukutama		1
pest		1
triigima		1
tootma	juurde	1
tegema	välja	6
virvendama		1
mõõtma		5
kontrollima	ära	1
evakueerima		1
veedtmk		3
õppima	juurde	8
hõlpsustama		1
tungima	kallale	1
jätma	ära	10
jõuakdms		1
toksima		1
uurima	järgi	1
tõmbama	ette	1
vahendama		3
jääma	järele	2
tellima	sisse	1
nägema	pealt	1
trükima		3
ajastuma		1
püüama		4
nappima		1
liialdama		3
arusaama		5
dis_krimineerima		1
kiitma	heaks	3
töötlema	välja	1
harima	läbi	1
aeguma		2
piirima		1
raiuma	maha	1
jätma	rahule	1
lugema	välja	6
kütma		1
harjund	ära	1
tulma		1
suhtlema	ilma	1
muutma	edasi	1
vajama	kaasas	1
manipuleerima		7
hävinema		1
sünnitama		6
tassima		5
võrama	üle	1
toimetama	kohale	2
laimama		1
kuri_kasutatak		1
täiustuma		1
täiustama		3
muudama		7
magama	maha	2
piiksutama	läbi	1
läbi_viia		1
filmima	üles	1
petma	välja	2
kohtutama		2
muundama	ümber	1
paiskuma		1
diagnoosima		1
lõikama	lahti	1
välja_töötatud		1
siirama		1
laastama		2
tõendama		8
ajama	ära	1
halvendama		5
sekkuma		5
kiirgama		1
toppama		1
varustama		2
kõrvaldama		1
keevitama	kinni	1
hojama		2
hiilgama		1
mingem		1
hooligem		2
häkima		1
häkkima		2
riivama		1
ringlema		1
andma	välja	4
paljundama		1
kujundama	välja	1
allalaadima		1
piinlema		1
liigelda		2
purustama		2
olema	ära	11
hakkima		1
virisema		2
piiksuma		1
püüdma	kinni	2
tooma	edasi	1
kajastama		3
otsustama	üle	1
astuma	vastu	3
laskma	maha	1
võõranduma		1
leidma	läbi	1
rõima		1
lennama	ära	1
põhinema		14
kerkima		3
positama		1
pema		1
nõuma		5
sisse_lülitatud		1
teadma	ette	1
vehkima		1
torgatama		1
varisema	kokku	1
sööma	välja	1
sõrmitsema		1
vestma		1
reguleerima	ilma	1
karanteerima		1
lööma	külge	1
veetma	koos	3
tõrjuma		2
surisema		1
podisema		1
logelema		2
märkima		24
mugavnduma		1
säutsuma		1
logima	sisse	1
kiuskama	taga	1
algatama		2
venima	ette	1
võtma	juurde	2
soojendama		3
sulama	ära	1
jagama	edasi	1
ehitama	juurde	1
eksima	ära	8
leitma	üles	1
toituma		8
laekma	üles	1
kommunikeerima		1
kutsuma	välja	2
viitsima	välja	1
eritama		3
sünd		2
muutnuma		1
vaktsineerima		4
tootma	edasi	1
progresseeruma		1
triikima		1
suruma	välja	1
sündima	juurde	1
tähele_pand		1
aru_saam		11
all_kirjasta=tud		1
tammuma		1
vaimustuma		1
saama	edasi	7
valgustama		2
lugu		1
riputama	üles	1
kadestama		8
vägivallatsema		1
aeglustuma		2
parkima		1
nurisema		2
karglema		1
kompenseerima		8
elama	edasi	36
olema	alles	1
venitama		4
ajama	sisse	1
püsima	edasi	1
olema	üle	1
süüma	edasi	1
lükkama	tagant	1
viskama	maha	6
reostuma		1
surnud/surema		1
jaguma		3
sättima		1
pistma		1
minema	viltu	1
ehitama	peale	1
digitaliseeruma		1
vedama	kaupa	1
mahtuma	ära	3
uurima	edasi	2
jõudma	järgi	3
kasutavmd		1
klõpsima		1
klõbistama		1
ignoreerima		38
ava-stama		1
haldama		1
elatuma		1
tugevnema		5
vabam		1
sõitma	ära	23
läänestuma		1
reisima	ringi	6
seoksma		2
laiuma		3
käima	ära	17
ununema	ära	4
sündima	ilma	2
mõistama		4
lägema		2
orienteerima		8
saduma		1
minema	kaotsi	1
jäetama	kõrvale	1
ihkama		6
tühistama		5
vedama	kaasa	2
tõstma	püsti	1
kohisema		2
kajama		1
sammuma		1
hõiskama		1
tahtma	tagasi	7
kulgema	mööda	1
suhestuma		1
kuuluma	alla	2
murdma		12
piiluma	kõrvale	1
liialtma		1
võluma		5
määratlema		6
tükeldama		1
heiskama		6
tirima		1
lavastama		4
salvestuma		2
hammustama		3
rändama	sisse	1
segunema		2
immigreeruma		1
usuma		15
meelitama	kohale	1
looma	ilma	1
mahutama		2
passima		1
trampima		1
seigelma	ringi	1
vaatama	vastu	2
meeldima	peale	1
ütlema	vastu	6
sööma	ära	11
püherdama		2
hinnama		1
tunnustama		4
vaatama	tagasi	7
pärandama		1
pürkima		4
nakatama		3
pakuma		45
tuksuma		1
sõbrustama		4
kaoksma		3
kallistama		19
sõitma	kohale	1
andma	tagasi	16
reisima	välja	2
virelema		1
kutsuma	tagasi	6
ootama	tagasi	11
hüüdma		2
koristama	ära	5
prantsatama	maha	1
komistama	otsa	1
hingama	sisse	3
madanema		1
jõlkuma		1
pettuma		3
katkestama		371
sõitma	tasa	2
suusatama		4
kiruma		2
konkureerima		3
virisema	üle	2
imetlema	ära	1
pistma	välja	1
asendama	edasi	1
teadma	läbi	2
valmista=tud		1
näitama	ära	1
kipuma		2
sõnastama		2
suruma	maha	2
organiseerima		247
uritama		2
moodustama	kokku	1
hoima		3
hoi=tud		1
kolima	tagasi	2
suund		1
igatsema	tagasi	2
käiia		1
lõpetama	välja	1
teevgamk	kokku	1
komplimenteerima		1
motlema		9
kogunema	kokku, alla	1
võrsuma		1
vohama		2
väetama		1
käima	peale	1
elutsema		1
nägema	ära	2
kõndima	edasi	1
paitama		2
tavama		3
toimetama	laiali	1
vapustama		2
alluma		1
rabelema		2
kohastu=nud		1
rändama	välja	1
pöörduma	tagasi	2
meeldiv		6
juurima	välja	1
tegema	läbi	7
kurdama		1
pulbitsema		1
pajatama		3
hüljama		2
sõitma	läbi	1
naelutama		1
vaimustama		2
süütama		3
kütkestama		1
hämmastama		3
andma	vastu	2
kohtlema		4
voolama	välja	2
ühendadama		1
pakkuma	välja	6
olema	kinni	19
rohtima		1
tõmbama	tagasi	3
pressima	sisse	1
noppima		1
kõntlema		3
seokma		1
kõla		1
kattuma		1
jääma	lahti	1
elama	rahul	3
kasvatama	tagasi	1
töötavad/õpima		1
värisema		2
põksuma		1
tunnisdama		1
õiendama		1
rüüstama		1
jätma	alles	1
vaatama	otsa	2
muigama		1
kevaditi		1
uudistama		2
naljatlema		1
korrutama		1
tarbima	ära	1
pürgima	edasi	1
leebeltö_eldes		1
sunnima		4
rassima		1
kannatama	välja	1
jõud	lahti	1
nõugama		1
vedelema		4
käsima		11
hädaldama		2
ülistama		2
tirima	tagasi	1
punuma		1
pääsema	sisse	1
jooksma	ringi	11
saama	täis	7
sümboliseerima		1
lõikama	läbi	1
naasema	tagasi	1
rääkima	ilma	1
põhjendama	ära	1
pakkima		2
oilema		1
kehtestama		5
ise_seisvuma		1
reisima	ära	2
koolima		14
kolitama	ära	1
luiskama		1
lipp_uheis		1
pöörama	ette	1
kolama		1
surfama	ringi	1
möödasaatma		1
hallama		1
minema	ara	1
raiuma		1
hoiama	kokku	1
kõndima	vastu	1
hakkama	edasi	1
võitlema	välja	2
põimuma		1
laskma	ring	1
kinnituma		1
mõtestama		2
kõhklema		1
hoiama		4
ütlema	lahti	3
ühtima		1
kujutlema		4
mainima	ära	1
väärima		10
sujuma		1
kõigutama		3
tavama	edasi	1
rull_suusatama		1
kasvama	ülesse	4
kaunistama		4
tuutav		1
viima	välja	1
küünal		1
tava		1
uitama	ilma	1
käima	labi	1
tagasi_tull		1
huvitav		2
heitma	kõrvale	1
minema	lahti	3
köima		1
kiskuma	välja	1
kündma	edasi	1
õpima	ära	3
uudistama	ringi	1
joobuma		1
alandama		4
seoma	kokku	1
saama	jälile	1
siduma	kokku	1
hool		2
lõõvas	kaasa	1
riisuma		3
tampima		1
minema	läbi	7
kantseldama		1
vahutama		1
rikastuma		1
pidama	läbi	1
lõhkima		1
kohelema		2
põlgama		1
vastupidama		1
põrkama	kokku	1
teaksema		3
naljatama		2
praktiseerima		40
okupeerima		3
võitma	tagasi	1
voolima		4
pilgutama		1
karastama		1
tikkuma	peale	1
õhtutulema		1
astuma	sesse	1
tegema	tagasi	1
võtma	alla	1
toppima		1
tüütama	ära	1
ulatuma	tagasi	1
seobama		1
ulatama		1
minema	mööda, ilma	1
sobi_tung		1
kasvama	välja	1
tõstma	üles	5
seletama	lahti	1
kallama	alla	1
noppima	välja	1
luuletama		2
satuma		3
lehvima		1
uhkustama		1
hoidma	koos	3
salgama		1
linnastuma		1
aheldama	kinni	1
õnnistama		2
lahendama	üle	1
sulanduma	sisse	1
sõitma	mööda	1
tulema	maha	1
endasse_tõmbunud		1
pidama	üleval	1
deformeeruma		1
sähvatama		1
õnne_pisar		1
globaliseeruma		1
aerutama		1
hüvitama		3
naeruvääristama		2
diskrimineeritama		1
kiskuma		1
andma	ära	4
kistma	välja	1
tegema	ringi, peale	1
segama	kokku	2
programmeerima	sisse	1
sünduma		1
käija		1
matkama	läbi	1
kasvama	üleks	1
satuma	tülli	1
karjuma	üle	1
valmstama		1
lõdvestuma		5
sõnama		1
mõtema		2
tolmma		1
kelgutama		1
suuddma		1
ohverdama		8
vedama	alt	3
mõtlema	all	1
naasema		1
kanduma		1
olema	läbi	1
rääkidne		1
eidma		3
spatseerima		1
lämmatama		1
hoidma	püsti	1
tüdima		2
talitama		1
lüpsma		1
lainetama		1
jätama		2
tooma	kohale	1
muuma		1
küllastama		13
vabandama		88
kestama		24
räkkima		11
keestma		1
soobima		86
paistama		12
näitlema		10
veedma		26
jäätis		1
käema		23
vaatam		1
näitma		17
tore		5
kurjutama		3
äitama		4
jokma		7
võittma		1
ostustama		2
päivitama		3
tahtama		1
šoppama		3
hilinema		27
anema		17
söötama		2
söima		2
tähama		10
naidma		1
käma		2
mõõk		1
vaatama	läbi	5
lohu_suu		1
minema	täis	1
kaisine		1
valgama		1
puhtama		3
sajama		62
käisema		3
ööbisema		1
tagastama		29
räärima		2
säima		1
toiduma		1
püiama		1
teadma	eest	1
aitäh		17
haige		1
reisima	koos	1
soima		1
lobustama		1
lobustuma		1
kojama	vastu	1
tülitsema		14
tülitama		1
kaisma		2
taha-ksimt		1
jänunema		1
juutustama		11
kestma	kokku	3
muutama		12
pakima		1
jõudma	kokku	1
sõidma	välja	1
käiä		1
aub		1
sõidma	tagasi	2
nääma	välja	3
tervittama		1
pildi-stama		1
unust-ama		1
kallis		1
telkima		2
suhtema		4
väljamõtlema		1
kirjutama	vastu	18
veetama		40
pidama	alla	1
eitea		2
shoppama		5
joksima		4
veetsima		1
kuulema		3
kukkuma		31
kallima		1
riidlema		7
õnnitlema		2
käima	alla	1
vabanda		1
lendsima		1
sõitma	taga	1
siisaldama		1
aitma		5
saama	mööda	1
puhkuma		14
järkama		1
kardama		16
hulkuma		1
muretsama		1
sõidama	tagasi	1
koostma		16
sina		5
kulema		2
küsima	ära	1
väätama		1
provima		19
nätma		1
haakima		1
sümpotiseerima		1
taganema	sisse	1
otsuma		5
jätk.ma		1
tulema	vahele	1
hakkama	tagasi	1
tuulma	välja	1
soitama		1
sõidma	alla	1
võtima		95
kirjama		4
raagi		1
annama		16
antsima		1
kaema		2
lahama		1
sitma		1
koohtuma		1
planima		1
parenema		30
lõpetan		1
raagima		4
rääkisima		2
muuduma		1
vastuma		4
valmistasima		1
õppma		3
kass		1
segama	vahele	1
tuttvuma		8
käänama		3
küüsima		1
kardma		21
naudma		4
selgitama		115
elama	juurde	1
tahendama		4
kijutama		2
vigama		1
praaktima		1
tuntma		5
tahhama		1
sõtma		4
alu-stama		1
parafraseerima		1
elama	eest	1
suhtlema	edasi	3
unusta-ma		1
sele_taksan		1
meldima		79
võtma	heaks	1
kehrama		1
keskondma		1
käänetlema		1
jalgrattama		1
julutama		1
selletama		6
kartama		5
abima		7
sõitma	juurde	4
praktima		6
paaremak		1
mõtlema	ära	2
aru_saada		19
kastma		7
tõlgima		6
õppitama		5
suhhtlema		1
enam		1
ragima		1
tulima	taga	1
õppima	läbi	2
elama	juures	1
ebameeldima		1
elama	koos	3
pabistama		2
istuma	ringi	1
öelma		2
nõustama		14
rääkima	koos	1
kusima		8
saada..		2
kirjutama	vasta	1
saima		10
käsima	juures	1
tulima		16
reageerima		30
parananema		1
suheldma		1
saadma		12
kulastama		4
valmistama	ette	23
õppisima		1
rä-äkima		2
tekkitama		37
jurustama		1
sule=tud		1
korjatama		2
viip		1
teenindama		16
supplema		1
lähema		5
korristama		2
töötama	koos	13
tõõtama		13
tõötama		1
kijrutama		1
tähk		1
õppetama		25
lendama	ära	9
tööma		8
kuts	kaasa	1
parendama		19
väsinema		3
pakutama		32
mooma		1
laos		1
veenima		1
tõusma	üles	4
poodma		2
kleppima		2
vaatma		6
panema	tagasi	1
käima	sisse	2
maksima		3
tõustma		5
mõtelma		2
vaastama		8
toustma		1
korristama	vaja	1
kirjetama		1
tuntuma		18
jatkama		6
veeduma		1
läbi_saad		1
tega		2
pakuema		1
reetma		16
trimmerima		1
tööetama		2
saama	kohale	4
kaim		1
vastama	tagasi	2
mägnima		1
mõõtlema		2
ärkama	ära	1
tõstma	ülese	1
juuoma		1
*töötama		1
trennima		18
kattama	ära	1
tötama		2
pertma		1
tervetama		1
andma	kohal	2
olema	moodi	1
tõustma	üles	1
reklaamerima		1
ümbrustama		1
otsma		1
lapsema		1
päev		2
kurv		1
tutma		1
haisema		3
seisama		4
valutama	pärast	1
tulema	koos	4
leidma	ära	1
arkama		1
ootama	äärde	1
varastama	ära	1
sööma	ette	1
müima		1
vabas		1
kontakteerima		10
nimtma		4
treenitama		1
koristama	vaja	1
tegema	vaja	1
tutsuma	kaasa	1
võema		3
pusastama		1
näe.ma		2
näksima		2
olema	vaha	1
kuussama		1
ludma		1
paistma	peale	1
oppima		23
pakkutama		4
müüama		1
köökima		4
sõitma	seale	1
oootama		1
tahatmn		1
registreerima		294
käima	vaja	1
pluss		1
vanem		1
dahtma		1
töö		5
remonteerima		2
lepppima	kohal	1
kükitama		6
tahtma	koos	1
tapa		3
töötma		3
kirjutama	maha	4
reklameerima		2
väsinud		2
pluusima		1
projekteerima		1
makma		5
higisema		1
lepima	kokku	3
arvu_tee		1
töötama	vaja	1
jaama		22
töötäma		1
küsima	vastu	1
kaoma	ära	3
meedlima		3
istuma	taga	2
sunnis		1
tänuma		14
pikkendama		4
muutma	heaks	1
erindama		1
jägama		10
teenima	ära	2
annetama		2
õpema		1
võkma		1
aite		1
süündima		2
ütlevma		1
avaldama	tänu	15
kautama		2
pingatama		1
kasutama	heaks	1
teenima	välja	2
vastanduma		1
lihvima		1
äratama		2
kartma	edasi	2
tund		3
nähma		1
panema	sisse	4
demonstreerima		2
tunnema		4
turvuma		1
jääma	kõrvale	2
maaksma		3
teadma	edasi	1
süüdistama		4
koraldama		3
elistama		5
arenema	ära	1
tatmh		14
töömama		1
väskima	ära	2
tulema	vaja	12
mälema		2
võdma		3
tändama		1
mõjutama	edasi	1
poolma		3
mõos		1
tulema	ilma	1
leiama		2
väätma		1
osaline	nõus	1
kala_püüdma		1
mõtlesima		1
kõrgendama		1
täitama		2
orenteeruma		1
teatri_grupp		1
suundima		1
seotama		19
luuama		1
arenduma		1
meentuma		1
parandama	ära	1
readma		1
takkistama		2
hämmastuma		1
lugupedama		1
otsusma		1
kukkuma	välja	2
avaldus		5
saama	tahasi	1
teakdma		1
tahtsima		7
mõtlevama		1
tegema	moodi	2
filmima	ära	1
üleslaadima		1
istuma	ümber	1
säästuma		1
vajdlema		1
kooperima		1
blooger		1
tuginema		2
pidama	vaja	1
möötma		2
veendama		1
osalima		1
puhatama		1
kingitama		2
leidsima		1
võttma		16
pingutama	ilma	1
võte	kokku	7
täendama		5
unima		3
laadima	üles	1
suhtluma		3
rääkema		1
vahetama	läbi	1
täituma	vaja	1
läbi_viidud		1
toimuma	sisse	1
laenama		1
näidima		4
maksatama		1
lugu_peetud		8
jätkama	edasi	4
tähtis		2
lugu_pidan		1
kuulutuma		3
elav		1
läbema		1
lahkuma	ära	1
tegema	valmis	3
arenema	vaja	1
figureerima		1
võrtma		1
sünni=tud		1
mõllema		1
teagma		1
ütma		1
tantsuma		2
leima		5
näema	välja	3
veebima		2
alustama	poolt	2
pinguma		3
armasma		2
seotud		3
jäääma		3
pindutama		1
lõppma		1
korrama		3
liisama		11
hoppima		1
tennima		1
sponseerima		1
pingema		1
pingutama	nõus	1
edu		1
tahtma	juurde	1
käik		1
kalduma	eemale	1
parim		4
püstima		1
suutama		2
propagandeerima		3
võidlema		1
rõhustama		2
orienteeri=tud		1
sündima	alla	1
garanteerima		9
osdma		1
avatama		6
olema	valmis	3
määr_kida		1
kokkulepima		2
keep		1
lobitsema		1
tõsima		1
alus		1
lamama		1
jatkuma		3
korralda=tud		2
tasa_kaalusta=tud		1
lõppema	ära	1
keskendama		3
saatuma		5
kirjutama	ette	7
ronima	tagasi	1
mängima	koos	4
taptma		1
tegkima		1
asutama		6
sulistama		1
pääsema	tagasi	1
sunama		1
pingutane		1
täiduma		1
jatma		3
surendama		3
filmitama		1
neen		1
haaksma		1
tereenima		1
savutama		1
kandideerima		14
teeseldama		1
jääma	eemale	1
innetuma		1
võrdema		1
närveerima		9
osa_võtma		1
tulema	alt	1
maksama		12
osalema	tagasi	1
pingutama	läbi	1
näidma		1
kutsutuma		2
ebameedlima		1
adma		1
kujutlema	ette	1
mulje		1
tgsma		1
lugu_pidama		2
kõrgenama		1
nautama		1
ansma		5
vaalima		4
tahtma	mööda	1
konstrueerima		6
liiguma	edasi	1
kuts		1
tulema	päras	1
määletama		5
kukkuma	maha	8
mälatama		2
motiveerima	edasi	3
tehma		1
rüüdma		1
tekema		1
kolisema		1
poolitama		1
pingutama	üle	1
tutvima		2
solvuma		24
huvituma	vastu	1
püdma		3
jaama	rahul	1
produseerima		1
montaažerima		2
näiritama		1
püüdma	nõus	2
olema	vastu	18
majutuma		2
keeldima		1
osaline		2
tuulma	tagasi	1
päevpüüama		1
korrekteeruma		1
viidma		2
vaatama	pärast	1
meedima		6
soolvandma		1
mahtma		1
jäitma	rahule	1
printima		4
redakteerima		3
kokkuleppima		4
läbi_viitud		1
tundut		1
jäma	rahule	1
kasvama	edasi	3
öõtlema		1
põõrama		1
monteerima		11
teadma	ära	1
vormistama		7
riieldama		4
kaljuma		1
rääkim_amida		1
ütlema	vaja	2
elasma		1
uuruma		1
ette_kujutama		1
jäima		3
mahuma		8
saatima		9
kuts_elma		1
hoolema		1
vahtma		1
tahtma	ümber	1
aitama	tagasi	1
lõimuma		1
püüdma	ilma	1
püükama		1
andestama		2
meeldima	kokku	1
tootama		2
väljea		1
noustuma		1
olems		1
selkima		3
jõudma	ilma	1
saadus		1
montažeerima		2
meeldivama		1
põõdma		1
meikima		1
püütma		8
vaiknema		2
õptma		7
keellama		1
sõbratama		1
looma	läbi	1
oskkama		2
tegema...		1
poseerima		2
jäänuma	rahul	1
jaama	rahule	2
lõunama		1
programeerima		8
sobindma		1
majutama		2
peitama		1
hoidma	varjus	1
pannustama		1
unustama	peale	1
püüma		2
reisma		1
toitlustama		2
saatama		1
hinema		1
rumalda		1
pahenema		1
jaav		1
holitsema		1
ignoreidma		1
mõilema		1
tahakuma		1
tee		1
sisseastuma		35
ürima		1
puudutama	kokku	1
lihtlustama		1
kuri_tarv		1
tahtma	kõrval	1
pöördama		6
tüülitsema		1
sõprustama		5
meelima		4
muuretsema		1
meeldik		1
anama		6
pöörama	tagasi	1
pööma		2
õötlema		2
savama		3
tama		1
ütlemi		2
saadima		1
nägäma		5
nääma		1
realiseerima		7
pakkum		1
sõbrama		1
jooksma	läbi	3
montaažima		1
redigeerima		1
hoidma	ligi	1
valitma		2
võimlema		7
valema		4
ise_tehtud		1
veendunud		1
kontrollima	edasi	1
distsiplineerima		1
filmistama		6
nägima	välja	1
kosnema		1
süüdastama		1
veestlema		1
austuma		1
tahtma	edasi	10
jaaganema		1
sühtlema		1
jäätama		3
innistuma		1
susseastuma		1
tappama		3
intrigeerima		1
kohtuma	kokku	2
sümpatiseerima		2
tappema		1
küllastama	tagasi	1
võjma		1
kaostama		1
tahvtma		1
püaksma		1
selguma	välja	3
montaažeerima		1
töötama	ümber	1
seostama	edasi	1
vaatama	üles	1
võtma	kätte	1
püüjama		5
suitsetama		11
suitsegama		1
saatema		1
ööbitsema		1
alanduma		1
jätäma		1
näituma		1
viidma	läbi	1
töötlustama		5
väitlema		3
lõhnama		4
viima	rahule	1
huvima		11
olema	vaja, valmis	1
argumenteerima		5
arvame		1
leidama		1
mõeldama	läbi	1
