id,verb,verb_compound,verb_feats,verb_is_aux,verb_deprel,sup_verb,sup_verb_feats,sup_verb_deprel,sentence,sentence_id
6,kippuma,,"af,ps,sg,mod,ps3,pres,indic",0,root,jääma,"ps,ill,mod,sup",xcomp,Vähemalt praegu ___kipub___ selline lahendus rohkem küll fantaasiamaailma ___jääma___ .,190090
11,saama,,"ps,ill,mod,sup",1,conj,hakkama,"ps,ill,sup,main",xcomp,"Kui kvantitatiivsete meetodite korral olid valikutingimused antud piirangutega rahas , ajas , hulgas , hinnas jne , siis subjektiivsete hinnangute puhul sellist arvulist mõõtu pole ja me peame kuidagi teisiti ___hakkama___ ___saama___ .",190256
21,saama,,"aux,inf",0,xcomp,toimima,"ps,ill,mod,sup",xcomp,Võrgukoormuse ühtlase jaotuse saavutamiseks proovitakse tagasiside algoritme ___saada___ ___toimima___ sarnaselt enimkasutatava transpordiprotokolliga TCP .,191012
23,õppima,,"af,ps,sg,ps3,main,pres,indic",0,root,tuvastama,"ps,aux,ill,sup",xcomp,"Pärast pikemat jälgimist ___õpib___ tehisisik ___tuvastama___ küsimusi , millisel kujul neid ka ei esitataks .",191069
25,vabanema,,"af,ps,sg,aux,ps3,pres,indic",0,advcl,teenindama,"ps,ill,sup,main",xcomp,"Sellisel juhul tuleb kliendil oodata , kuni asjast teadlik inimene ___vabaneb___ teda ___teenindama___ .",191087
35,sobima,,"af,pl,ps,aux,ps3,pres,indic",0,conj,talitlema,"ps,aux,ill,sup",xcomp,"Mälukeskkonnana kasutatakse programmeeritavate elekterkustutusega püsimälude ( EEPROM ) klassi kuuluvaid poolpüsimälusid , mis ei vaja mällu salvestatud informatsiooni säilitamiseks elektrienergiat ning ___sobivad___ ___talitlema___ pidevas salvestus-lugemisreþiimis .",191886
36,kippuma,,"af,aux,imps,pres,indic",0,acl:relcl,unustama,"ps,aux,ill,sup",xcomp,"Vaatamata välkmälulülituste mitmetele voorustele ei tohiks alahinnata asjaolu , mida kahjuks ___kiputakse___ välkmälude korral ära ___unustama___ , et välkmälulülituste salvestus-lugemistsüklite arv on oluliselt väiksem , kui SRAM- või DRAM-põhistel muutmäludel või kõvaketastel .",191887
40,kippuma,,"af,ps,sg,mod,ps3,pres,indic",0,root,olema,"ps,ill,mod,sup",xcomp,Enamasti ___kipub___ süüdlaseks ___olema___ hoopiski laisavõitu välkmälulülitus .,191996
51,saama,,"inf,mod",0,xcomp,hakkama,"ps,ill,mod,sup",xcomp,"Siiski ei tohiks eelnevat mõista selliselt , et arvutid ning algoritmid kaevandavad - seda teevad ikkagi inimesed ning kaevandamisvahendite roll on abistav - võimaldada ___hakkama___ ___saada___ tohutute andmehulkadega ning neid interpreteerida .",192263
59,saama,,"ps,aux,ill,sup",1,root,hakkama,"ps,ill,sup,main",xcomp,"Lisaks sügavale analüüsimisele peab nende süsteem Retail Link ___hakkama___ ___saama___ [ 20 ] ka enam kui 7500 tarnijale täpse jooksva müügiinfo serveerimisega , võimaldades neil oma tootmist ning ladusid paremini planeerida .",192519
63,vaevuma,,"af,ps,sg,mod,ps2,pres,imper",1,conj,varustama,"ps,ill,sup,main",xcomp,"Näiteks toodavad paljud õpetajad ise elektroonilisi õppematerjale , kuid ei ___vaevu___ neid ___varustama___ metaandmetega ja levitama just selleks otstarbeks loodud repositooriumide vahendusel .",192560
77,pääsema,,"ps,ill,sup,main",1,root,saama,"ps,aux,ill,sup",conj,Sellest ainsast aknast peab inimene ___pääsema___ ligi kõigile ametiasutustele ja ametnikele ning ___saama___ lahenduse võimalikult paljudele probleemidele .,193139
79,jõudma,,"af,mod,imps,pres,indic",0,root,jätkuma,"ps,ill,sup,main",advcl,"Juhul kui integraallülituste miniaturiseerumine peaks edaspidigi ___jätkuma___ samas tempos nagu viimase 20 aasta jooksul , siis ___jõutakse___ peagi teatavate füüsikaliste piirideni , kus :",193169
105,juhtuma,,"inf,main",1,root,ootama,"ps,aux,ill,sup",csubj,"Kui nimekirju uuendatakse kord päevas ( mis kahjuks on olnud praeguse kommertsiaalse sertifitseerimistarkvara väljatöötuse üks tüüpilisi eeldusi ) , siis võib ___juhtuda___ , et Bob peab ___ootama___ terve päeva !",193743
107,tegema,,"ps,ill,mod,sup",1,acl,hoidma,"ps,ill,mod,sup",conj,"TSA peaks uuesti üle signeerima kõik tema poolt välja antud sertifikaadid , mis aga tähendab väga arvutusmahukat tööd ja ka seda , et TSA peab ise vahet ___tegema___ enda poolt välja antud ja juba võltsida jõutud ajatemplite vahel , s.t ta peab kõiki ajatempleid alles ___hoidma___ .",193807
146,saama,,"ps,sg,aux,neg,ps2,pres,imper",1,acl,hakkama,"ps,ill,mod,sup",xcomp,"Hea aeg metoodika juurutamiseks on saabunud siis , kui nii arendajad , juhid kui ka firma omanikud on jõudnud arusaamisele , et ilma metoodikata enam ___hakkama___ ei ___saa___ .",194922
152,kippuma,,"af,ps,sg,ps3,main,pres,indic",0,root,vähenema,"ps,ill,sup,main",xcomp,ABOBASE SYSTEMSI KÄIVE ___KIPUB___ ___VÄHENEMA___,195719
168,kippuma,,"ps,aux,neg,pres,indic",1,ccomp,kasutama,"ps,ill,sup,main",xcomp,"Praktika on näidanud , et tavaline klient ei ___kipu___ eriti ___kasutama___ .",196287
170,saama,,"af,ps,sg,mod,ps3,pres,indic",0,root,tegema,"ps,ill,mod,sup",advcl,"Klient ___saab___ kiiresti kätte vajaliku informatsiooni , kuna selleni jõudmiseks ei pea korduvaid infopäringuid ___tegema___ .",196321
171,kippuma,,"af,pl,ps,mod,ps3,pres,indic",0,acl,ummistuma,"ps,ill,mod,sup",xcomp,"Nende kasutamine on raskendatud suurürituste korral või ka lihtsalt rahvarohketes kohtades , kus sidekanalid ___kipuvad___ tihti ___ummistuma___ .",196355
182,keskenduma,,"af,ps,sg,ps3,impf,main,indic",0,root,saama,"ps,ill,sup,main",advcl,"President ___keskendus___ kõnes Eesti e-valitsemise akadeemiale , kus lähiaastail peaks ___saama___ täienduskoolitust sajad Euroopa ja Aasia ametnikud .",196824
185,kippuma,,"af,ps,sg,mod,ps3,impf,indic",0,advcl,jääma,"ps,ill,mod,sup",xcomp,"Sööturiga esines probleeme veel poolteist tundi enne võistluse algust , sest viimane , neljas märk ___kippus___ umbes 30% juhtudest sööturisse kinni ___jääma___ .",196970
